show_id,type,title,director,release_year,duration
s477,Movie,Solo: A Star Wars Story,Ron Howard,2018,135
s478,Movie,X-Men: Days of Future Past,Bryan Singer,2014,132
s479,Movie,The Undefeated Presents: Hamilton In-Depth,,2020,33
s480,TV Show,Animal ER,,2016,
s481,Movie,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,2011,100
s482,Movie,Hamilton,Thomas Kail,2020,160
s483,Movie,Ice Age: Collision Course,Mike Thurmeier,2016,97
s484,Movie,Race to Witch Mountain,Andy Fickman,2009,100
s485,Movie,The Big Green,Holly Sloan,1995,100
s486,Movie,The Mighty Ducks,Stephen Herek,1992,104
s487,Movie,While You Were Sleeping,Jon Turteltaub,1995,104
s488,TV Show,Disney A.N.T. Farm,,2011,
s489,TV Show,Into the Unknown: Making Frozen 2,,2020,
s490,Movie,Man in Space,Ward Kimball,1955,49
s491,Movie,Mars and Beyond,Ward Kimball,1957,53
s492,Movie,Marvel Studios' Avengers: Infinity War,"Anthony Russo, Joe Russo",2018,152
s493,Movie,Tarzan,"Kevin Lima, Chris Buck",1999,93
s494,Movie,Tarzan II,Brian Smith,2005,75
s495,TV Show,101 Dalmatians (Series),,1997,
s496,Movie,Big Sur: Wild California,,2010,47
s497,TV Show,Disney Junior Muppet Babies Play Date,,2018,
s498,Movie,Egypt's Treasure Guardians,"Ben Allen, Tom Jenner",2016,44
s499,Movie,The Jungle Book,Jon Favreau,2016,108
s500,Movie,The Pirate Fairy,Peggy Holmes,2014,78
s501,Movie,Trail Mix-Up,Barry Cook,1993,9
s502,Movie,Tummy Trouble,"Frank Marshall, Rob Minkoff",1989,8
s503,Movie,Artemis Fowl,Kenneth Branagh,2020,96
s504,TV Show,Mighty Med,,2013,
s505,Movie,The Liberty Story,"Hamilton Luske, Robert Stevenson",1957,48
s506,Movie,The Story of the Animated Drawing,"Wilfred Jackson, William Beaudine",1955,49
s507,Movie,Walt & El Grupo,Theodore Thomas,2009,108
s508,TV Show,Alaska's Grizzly Gauntlet,,2018,
s509,Movie,America's Greatest Animals,,2012,90
s510,Movie,Chasing the Equinox,Kenny Scott,2019,45
s511,TV Show,Howie Mandel's Animals Doing Things,,2017,
s512,TV Show,Japan: Between Earth and Sky,,2017,
s513,Movie,Percy Jackson & The Olympians: The Lightning Thief,Chris Columbus,2010,119
s514,TV Show,Secrets of Wild India,,2012,
s515,TV Show,The Greeks,,2016,
s516,TV Show,Wild Hawaii,,2014,
s517,Movie,Women Of Impact: Changing The World,,2019,44
s518,Movie,"Maggie Simpson in ""The Longest Daycare""",,2012,5
s519,Movie,Mickey and the Seal,Charles Nichols,1948,7
s520,TV Show,The Evermoor Chronicles,,2015,
s521,Movie,The Moon-Spinners,James Neilson,1964,119
s522,TV Show,Doc McStuffins,,2011,
s523,Movie,Fantastic Mr. Fox,Wes Anderson,2009,88
s524,Movie,"Hello, Dolly!",Gene Kelly,1969,147
s525,TV Show,Marvel's Future Avengers,,2017,
s526,Movie,Out,Steven Hunter,2020,12
s527,TV Show,The Big Fib,,2019,
s528,Movie,The Boys: The Sherman Brothers' Story,"Jeffrey Sherman, Gregory Sherman",2009,102
s529,TV Show,It's a Dog's Life with Bill Farmer,,2020,
s530,Movie,Maleficent: Mistress of Evil,Joachim Rønning,2019,121
s531,Movie,Star Wars: The Rise of Skywalker (Episode IX),J.J. Abrams,2019,142
s532,Movie,John Carter,Andrew Stanton,2012,134
s533,TV Show,Awesome Animals,,2017,
s534,TV Show,Birth of Europe,,2014,
s535,Movie,Bride of Boogedy,Oz Scott,1987,93
s536,TV Show,Buried Secrets Of The Bible With Albert Lin,,2019,
s537,TV Show,Disney Prop Culture,,2020,
s538,Movie,George of the Jungle,Sam Weisman,1997,93
s539,Movie,Homeward Bound II: Lost in San Francisco,David Ellis,1996,90
s540,Movie,Homeward Bound: The Incredible Journey,Duwayne Dunham,1993,85
s541,Movie,How to Play Baseball,Jack Kinney,1942,8
s542,Movie,In Beaver Valley,James Algar,1950,32
s543,TV Show,Lost Treasures Of Egypt,,2018,
s544,TV Show,Love & Vets,,2017,
s545,Movie,Nature's Half Acre,James Algar,1951,33
s546,TV Show,Prairie Dog Manor,,2019,
s547,Movie,Prowlers of the Everglades,James Algar,1953,32
s548,Movie,The Princess Bride,Rob Reiner,1987,99
s549,TV Show,United States Of Animals,,2015,
s550,TV Show,Unlikely Animal Friends,,2012,
s551,Movie,Water Birds,Ben Sharpsteen,1952,31
s552,Movie,National Treasure,Jon Turteltaub,2004,132
s553,Movie,Born Wild: The Next Generation,Liliana Olszewski,2020,44
s554,TV Show,America's Funniest Home Videos,,1989,
s555,Movie,The Olympic Elk,James Algar,1952,27
s556,TV Show,Tangled: The Series,,2016,
s557,Movie,Jane Goodall: The Hope,"Elizabeth Leiter, Kimberly Woodard",2020,89
s558,TV Show,Brain Games,,2011,
s559,TV Show,Disney Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts),,2017,
s560,Movie,Let's Stick Together,Jack Hannah,1952,7
s561,Movie,Pluto's Purchase,Charles Nichols,1948,7
s562,TV Show,Tron Uprising,,2011,
s563,Movie,A Celebration of the Music from Coco,Ron de Moraes,2020,48
s564,TV Show,Disney Playtime with Puppy Dog Pals (Shorts),,2017,
s565,Movie,"Maggie Simpson in ""Playdate with Destiny""",David Silverman,2020,5
s566,TV Show,Paradise Islands,,2017,
s567,TV Show,Tut's Treasures: Hidden Secrets,,2018,
s568,Movie,A Tale of Two Critters,Jack Speirs,1977,48
s569,Movie,All in a Nutshell,Jack Hannah,1949,7
s570,Movie,Disneynature Penguins,"Alastair Fothergill, Jeff Wilson",2019,77
s571,Movie,Diving with Dolphins,Keith Scholey,2020,79
s572,Movie,Dolphin Reef,Keith Scholey,2018,78
s573,Movie,Don's Fountain of Youth,Jack Hannah,1953,6
s574,Movie,Donald's Dog Laundry,Jack King,1940,9
s575,Movie,Double Dribble,Jack Hannah,1946,8
s576,Movie,Dragon Around,Jack Hannah,1954,7
s577,Movie,Elephant,Mark Linfield,2020,89
s578,Movie,Elmer Elephant,Wilfred Jaxon,1936,8
s579,TV Show,Fish Hooks,,2010,
s580,Movie,How To Play Football,Jack Kinney,1944,9
s581,Movie,In the Footsteps of Elephant,Vanessa Berlowitz,2020,88
s582,Movie,"Lambert, The Sheepish Lion",Jack Hannah,1952,8
s583,Movie,On Ice,Ben Sharpsteen,1935,9
s584,Movie,Onward,Dan Scanlon,2020,103
s585,Movie,Out of Scale,Jack Hannah,1951,8
s586,Movie,Penguins: Life on the Edge,"Alastair Fothergill, Jeff Wilson",2020,78
s587,Movie,Pluto's Party,Milt Schaffer,1952,8
s588,Movie,Sea Scouts,Dick Lundy,1939,8
s589,TV Show,Sonny With A Chance,,2008,
s590,Movie,The Boy Who Talked to Badgers,Gary Nelson,1975,90
s591,Movie,The New Neighbor,Jack Hannah,1953,7
s592,Movie,The Small One,Don Bluth,1978,25
s593,Movie,The Straight Story,David Lynch,1999,112
s594,Movie,Frankenweenie,Tim Burton,2012,88
s595,Movie,Mars Needs Moms,Simon Wells,2011,91
s596,Movie,Prom,Joe Nussbaum,2011,105
s597,Movie,The Last Song,Julie Robinson,2010,109
s598,Movie,The Odd Life of Timothy Green,Peter Hedges,2012,106
s599,TV Show,Be Our Chef,,2020,
s600,Movie,A Wrinkle in Time,Ava DuVernay,2018,112
s601,TV Show,Disney I Didn't Do It,,2013,
s602,TV Show,Disney Insider,,2020,
s603,TV Show,Disney Vampirina Ghoul Girls Rock! (Shorts),,2017,
s604,Movie,G-Force,Hoyt Yeatman IV,2009,92
s605,Movie,Frozen 2,"Chris Buck, Jennifer Lee",2019,107
s606,Movie,Stargirl,Julia Hart,2020,107
s607,Movie,The Finest Hours,Craig Gillespie,2016,119
s608,Movie,The Sandlot: Heading Home,William Dear,2007,97
s609,Movie,Bedtime Stories,Adam Shankman,2008,101
s610,Movie,Marvel Studios' Black Panther,Ryan Coogler,2018,137
s611,TV Show,101 Dalmatian Street,,2018,
s612,Movie,Disney Phineas and Ferb: Phineas and Ferb Star Wars,,2014,53
s613,TV Show,Shop Class,,2020,
s614,Movie,Viking Warrior Women,Stuart Strickson,2019,44
s615,TV Show,Star Wars Resistance,,2018,
s616,TV Show,Lost Cities With Albert Lin,,2019,
s617,Movie,Marvel Rising: Operation Shuri,Chris Rutkowski,2019,23
s618,Movie,Marvel Rising: Playing With Fire,Sol Choi,2019,45
s619,TV Show,Star Wars: The Clone Wars,,2008,
s620,Movie,Marvel's Iron Man & Hulk: Heroes United,Leo Riley,2013,74
s621,Movie,Because of Winn-Dixie,Wayne Wang,2005,107
s622,TV Show,Fairy Tale Weddings,,2017,
s623,Movie,"My Dog, the Thief",Robert Stevenson,1969,89
s624,Movie,Splash,Ron Howard,1984,110
s625,TV Show,That's So Raven,,2002,
s626,Movie,Timmy Failure: Mistakes Were Made,Tom McCarthy,2020,103
s627,Movie,Toy Story 4,Josh Cooley,2019,101
s628,Movie,Descendants 3,Kenny Ortega,2019,109
s629,Movie,Around the World in 80 Days,Frank Coraci,2004,121
s630,Movie,Big Business,Jim Abrahams,1988,98
s631,Movie,Lamp Life,Valerie LaPointe,2020,11
s632,Movie,The Lion King,Jon Favreau,2019,125
s633,TV Show,Diary of a Future President,,2020,
s634,TV Show,High School Musical: The Musical: The Series: The Sing-Along,,2019,
s635,TV Show,America's National Parks,,2015,
s636,TV Show,Continent 7: Antarctica,,2016,
s637,TV Show,Disney Randy Cunningham: 9th Grade Ninja,,2011,
s638,TV Show,Muppet Babies Show and Tell (Shorts),,2017,
s639,TV Show,The Lodge,,2016,
s640,TV Show,Wild Russia,,2018,
s641,Movie,Destino,Monfery Dominique,2003,6
s642,Movie,Forky Asks a Question: What is Reading?,Bob Peterson,2020,7
s643,Movie,Loop,Erica Milsom,2020,12
s644,TV Show,Marvel's Runaways,,2017,
s645,Movie,Aladdin (2019),Guy Ritchie,2019,135
s646,Movie,Forky Asks a Question: What is Cheese?,Bob Peterson,2020,6
s647,TV Show,Austin & Ally,,2011,
s648,TV Show,Billy Dilley's Super-Duper Subterranean Summer,,2016,
s649,Movie,Cars Toon: El Materdor,John Lasseter,2008,4
s650,Movie,Cars Toon: Moon Mater,Rob Gibbs,2010,4
s651,Movie,Cars Toon: Rescue Squad Mater,John Lasseter,2010,3
s652,Movie,Cars Toon: Spinning,Jeremy Lasky,2013,2
s653,Movie,Cars Toon: Time Travel Mater,Rob Gibbs,2012,7
s654,Movie,Cars Toon: Tokyo Mater,John Lasseter,2008,8
s655,Movie,Cars Toon: Unidentified Flying Mater,John Lasseter,2010,4
s656,Movie,Cars Toons: Bugged,Jeremy Lasky,2013,2
s657,Movie,Cool Runnings,Jon Turteltaub,1993,99
s658,Movie,Drain Alcatraz,Wayne Abbott,2017,47
s659,Movie,Drain The Bermuda Triangle,Jobim Sampson,2014,45
s660,Movie,Drain The Great Lakes,"Crispin Sadler, Wayne Abbott",2011,45
s661,Movie,Drain The Ocean: WWII,Mike Slee,2016,44
s662,Movie,Drain The Sunken Pirate City,Sophie Harris,2017,48
s663,Movie,Drain The Titanic,Jobim Sampson,2015,45
s664,TV Show,First Class Chefs: Family Style,,2015,
s665,Movie,Hacksaw,Larry Lansburgh,1971,89
s666,Movie,Holes,Andrew Davis,2003,119
s667,Movie,Marvel 75 Years: From Pulp to Pop!,Zak Knutson,2014,42
s668,Movie,Marvel Rising: Battle of The Bands,,2019,23
s669,TV Show,One Strange Rock,,2017,
s670,TV Show,Out There with Jack Randall,,2019,
s671,Movie,Super Rhino,Nathan Greno,2009,4
s672,TV Show,The Proud Family,,2001,
s673,TV Show,The Super Hero Squad,,2009,
s674,TV Show,Year Million,,2016,
s675,Movie,Forky Asks a Question: What is a Pet?,Bob Peterson,2019,7
s676,Movie,Star Wars: The Last Jedi (Episode VIII),Rian Johnson,2017,152
s677,Movie,Forky Asks a Question: What is a Leader?,Bob Peterson,2019,6
s678,Movie,George of the Jungle 2,David Grossman,2003,89
s679,Movie,High School Musical: The Musical: The Series: The Special,Clayton Cogswell,2019,23
s680,TV Show,Pick of the Litter,,2019,
s681,Movie,Togo,Ericson Core,2019,117
s682,Movie,Forky Asks a Question: What is a Computer?,Bob Peterson,2019,6
s683,Movie,Wind,Edwin Chang,2019,9
s684,Movie,Forky Asks a Question: What is Love?,Bob Peterson,2019,7
s685,TV Show,One Day at Disney (Shorts),,2019,
s686,Movie,Marvel Studios' Thor: Ragnarok,Taika Waititi,2017,132
s687,TV Show,Disney The Lion Guard,,2015,
s688,Movie,One Day at Disney,Fritz Mitchell,2019,62
s689,TV Show,Disney Star vs. the Forces of Evil,,2014,
s690,Movie,Expedition Amelia,Chad Cohen,2019,94
s691,Movie,Glory Road,James Gartner,2006,119
s692,TV Show,Henry Hugglemonster,,2012,
s693,Movie,Incredible! The Story of Dr. Pol,,2015,44
s694,Movie,Marvel Rising: Chasing Ghosts,,2019,24
s695,Movie,Marvel Rising: Heart of Iron,,2019,46
s696,TV Show,Miles From Tomorrowland,,2014,
s697,TV Show,Sheriff Callie's Wild West,,2011,
s698,TV Show,Supercar Megabuild,,2016,
s699,Movie,The Incredible Dr. Pol: Blue Ribbon Kids,,2016,42
s700,Movie,Coco,Lee Unkrich,2017,105
s701,Movie,Coco (in Spanish),Lee Unkrich,2017,105
s702,Movie,Forky Asks a Question: What is Time?,Bob Peterson,2019,6
s703,Movie,The Wonderful World of Disney Presents The Little Mermaid Live!,Hamish Hamilton,2019,84
s704,Movie,Forky Asks a Question: What is Art?,Bob Peterson,2019,7
s705,TV Show,Mickey Mouse Roadster Racers,,2017,
s706,Movie,"Happy Birthday, Mickey!",,2019,2
s707,Movie,Forky Asks a Question: What is a Friend?,Bob Peterson,2019,6
s708,Movie,10 Things I Hate About You,Gil Junger,1999,98
s709,Movie,101 Dalmatians,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi",1961,81
s710,Movie,101 Dalmatians II: Patch's London Adventure,"Jim Kammerud, Brian Smith",2003,77
s711,Movie,102 Dalmatians,Kevin Lima,2000,104
s712,Movie,12 Dates of Christmas,James Hayman,2011,88
s713,Movie,"20,000 Leagues Under the Sea",Richard Fleischer,1954,127
s714,Movie,A Bug's Life,John Lasseter,1998,98
s715,Movie,A Goofy Movie,Kevin Lima,1995,81
s716,Movie,A Kid in King Arthur's Court,Michael Gottlieb,1995,90
s717,Movie,A Knight for a Day,Jack Hannah,1946,7
s718,Movie,A Ring of Endless Light,Greg Beeman,2002,88
s719,Movie,Aladdin (1992),"Ron Clements, John Musker",1992,94
s720,Movie,Aladdin and the King of Thieves,Tad Stones,1996,86
s721,Movie,Aladdin: The Return of Jafar,"Toby Shelton, Tad Stones, Alan Zaslove",1994,71
s722,Movie,Alice in Wonderland,"Clyde Geronimi, Hamilton Luske, Wilfred Jackson",1951,79
s723,Movie,Aliens of the Deep,"James Cameron, Steven Quale",2005,100
s724,Movie,Alley Cats Strike!,Rod Daniel,2000,87
s725,Movie,Almost Angels,Steve Previn,1962,90
s726,Movie,America's Heart & Soul,Louie Schwartzberg,2004,88
s727,Movie,Amy,Vincent McEveety,1981,100
s728,Movie,An Extremely Goofy Movie,Douglas McCarthy,2000,81
s729,TV Show,Andi Mack,,2016,
s730,Movie,Annie,Rob Marshall,1999,91
s731,Movie,Apollo: Missions To The Moon,Tom Jennings,2019,95
s732,Movie,Atlantis Rising,Simcha Jacobovici,2017,94
s733,Movie,Atlantis: Milo's Return,"Tad Stones, Toby Shelton, Victor Cook",2003,83
s734,Movie,Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",2001,98
s735,Movie,Auntie Edna,Ted Mathot,2018,7
s736,Movie,Avatar,James Cameron,2009,162
s737,Movie,Babes in the Woods,Burt Gillett,1932,8
s738,Movie,Babes in Toyland,Jack Donohue,1961,106
s739,Movie,Bambi,David Hand,1942,72
s740,Movie,Bambi II,Brian Pimental,2006,75
s741,Movie,Bao,Domee Shi,2018,8
s742,Movie,Beach Picnic,Clyde Geronimi,1939,9
s743,Movie,Bearly Asleep,Jack Hannah,1955,7
s744,Movie,Beauty and the Beast: Belle's Magical World,Bob Kline,1998,71
s745,Movie,Beauty and the Beast: The Enchanted Christmas,Andy Knight,1997,73
s746,Movie,Beezy Bear,Jack Hannah,1955,7
s747,Movie,Before the Flood,Fisher Stevens,2016,96
s748,Movie,Benji the Hunted,Joe Camp,1987,89
s749,TV Show,Best Friends Whenever,,2015,
s750,TV Show,Big City Greens (Shorts),,2017,
s751,Movie,Big Hero 6,"Don Hall, Chris Williams",2014,105
s752,TV Show,Big Hero 6 The Series (Shorts),,2017,
s753,Movie,Bizarre Dinosaurs,Jenny Kubo,2009,46
s754,Movie,Blank Check,Rupert Wainwright,1994,94
s755,Movie,Boat Builders,Ben Sharpsteen,1938,8
s756,Movie,Bolt,"Chris Williams, Byron Howard",2008,98
s757,Movie,Bone Bandit,Charles Nichols,1948,7
s758,TV Show,Bonkers,,1993,
s759,Movie,Boundin',Bud Luckey,2004,6
s760,TV Show,Boy Meets World,,1993,
s761,Movie,Brave,"Mark Andrews, Brenda Chapman",2012,94
s762,Movie,Brave Little Toaster to the Rescue,Robert Ramirez,1999,75
s763,Movie,Breaking2,Martin Roe,2017,55
s764,Movie,Brink!,Greg Beeman,1998,90
s765,Movie,Brother Bear,"Aaron Blaise, Robert Walker",2003,90
s766,Movie,Brother Bear 2,Benjamin Gluck,2006,78
s767,Movie,Buffalo Dreams,David Jackson,2005,90
s768,TV Show,Bug Juice: My Adventures at Camp,,2017,
s769,Movie,BURN-E,Angus MacLane,2008,8
s770,Movie,Cadet Kelly,Larry Shaw,2002,100
s771,Movie,Camp Nowhere,Jonathan Prince,1994,96
s772,Movie,Camp Rock,Matthew Diamond,2008,96
s773,Movie,Camp Rock 2: The Final Jam,Paul Hoen,2010,101
s774,Movie,Can of Worms,Paul Schneider,1999,84
s775,Movie,Candleshoe,Norman Tokar,1978,101
s776,Movie,Canine Caddy,Clyde Geronimi,1941,8
s777,Movie,Cars,John Lasseter,2006,117
s778,Movie,Cars 2,John Lasseter,2011,107
s779,Movie,Cars 3,Brian Fee,2017,103
s780,Movie,Cars Toon: Air Mater,Rob Gibbs,2011,5
s781,Movie,Cars Toon: Heavy Metal Mater,John Lasseter,2010,5
s782,Movie,Cars Toon: Hiccups,Jeremy Lasky,2013,3
s783,Movie,Cars Toon: Mater Private Eye,Rob Gibbs,2010,6
s784,Movie,Cars Toon: Mater the Greater,John Lasseter,2008,5
s785,Movie,Cars Toon: Monster Truck Mater,John Lasseter,2010,6
s786,Movie,Cars Toon: The Radiator Springs 500 1/2,"Rob Gibbs, Scott Morse",2014,6
s787,Movie,Casebusters,Wes Craven,1986,46
s788,Movie,Cheetah,Jeff Blyth,1989,84
s789,Movie,Chef Donald,Jack King,1941,8
s790,Movie,Chicken Little,Mark Dindal,2005,84
s791,TV Show,Chip 'n Dale's Rescue Rangers,,1989,
s792,Movie,Chip an' Dale,Jack Hannah,1947,7
s793,Movie,Cinderella,"Wilfred Jackson, Hamilton Luske, Clyde Geronimi",1950,77
s794,Movie,Cinderella II: Dreams Come True,John Kafka,2002,77
s795,Movie,Cinderella III: A Twist in Time,Frank Nissen,2007,79
s796,Movie,Clock Cleaners,Ben Sharpsteen,1937,9
s797,Movie,Cloud 9,Paul Hoen,2014,89
s798,Movie,College Road Trip,Roger Kumble,2008,84
s799,Movie,Confessions of a Teenage Drama Queen,Sara Sugarman,2004,91
s800,TV Show,Coop & Cami Ask The World (Shorts),,2018,
s801,Movie,Corn Chips,Jack Hannah,1951,7
s802,Movie,Cow Belles,Francine McDougall,2006,91
s803,TV Show,Crash & Bernstein,,2012,
s804,Movie,Dadnapped,Paul Hoen,2009,85
s805,Movie,Darby O'Gill and the Little People,Robert Stevenson,1959,91
s806,TV Show,Darkwing Duck,,1991,
s807,Movie,Davy Crockett and the River Pirates,Norman Foster,1956,81
s808,Movie,"Davy Crockett, King of the Wild Frontier",Norman Foster,1955,93
s809,Movie,Day & Night,Teddy Newton,2010,8
s810,Movie,Decorating Disney: Holiday Magic,,2017,42
s811,Movie,Deep Blue,"Alastair Fothergill, Andy Byatt",2005,91
s812,Movie,Descendants 2,Kenny Ortega,2017,114
s813,Movie,Diary Of A Wimpy Kid,Thor Freudenthal,2010,93
s814,Movie,Dinosaur,"Ralph Zondag, Eric Leighton",2000,84
s815,Movie,Disney Adventures in Babysitting,John Schultz,2016,95
s816,Movie,Disney Avalon High,Stuart Gillard,2010,91
s817,Movie,Disney Bad Hair Day,Érik Canuel,2015,93
s818,TV Show,Disney Bizaardvark,,2015,
s819,Movie,Disney Den Brother,Mark Taylor,2010,90
s820,Movie,Disney Descendants,Kenny Ortega,2015,114
s821,TV Show,Disney Descendants Wicked World (Shorts),,2015,
s822,TV Show,Disney DuckTales (Shorts),,2016,
s823,TV Show,Disney Evermoor,,2017,
s824,TV Show,Disney Family Sundays,,2019,
s825,TV Show,Disney Fast Layne,,2018,
s826,Movie,Disney Girl vs. Monster,Stuart Gillard,2012,90
s827,TV Show,Disney Gravity Falls,,2011,
s828,TV Show,Disney Gravity Falls (Shorts),,2012,
s829,TV Show,Disney Jake and the Never Land Pirates,,2010,
s830,TV Show,Disney JONAS,,2008,
s831,TV Show,Disney Junior Music Nursery Rhymes,,2017,
s832,TV Show,Disney K.C. Undercover,,2014,
s833,TV Show,Disney Lab Rats: Elite Force,,2015,
s834,TV Show,Disney Legend of the Three Caballeros,,2017,
s835,TV Show,Disney Mickey Mouse Clubhouse,,2005,
s836,TV Show,Disney Milo Murphy's Law,,2016,
s837,TV Show,Disney Minnie's Bow-Toons (Shorts),,2011,
s838,TV Show,Disney Stuck In The Middle,,2015,
s839,TV Show,Disney Take Two With Phineas And Ferb (Shorts),,2010,
s840,TV Show,Disney Tangled: The Series - Short Cuts,,2016,
s841,Movie,Disney Under The Sea: A Descendants Short Story,Hasraf Dulull,2018,10
s842,TV Show,Disney's Adventures Of The Gummi Bears,,1985,
s843,TV Show,Disney's Doug,,1996,
s844,Movie,Disney's Fairy Tale Weddings,Chris Wilson,2017,64
s845,Movie,Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,2017,42
s846,TV Show,Disney's Hercules: The Animated Series,,1998,
s847,TV Show,Disney's Kim Possible,,2001,
s848,TV Show,Disney's Little Einsteins,,2005,
s849,TV Show,Disney's Mighty Ducks,,1996,
s850,TV Show,Disney's Recess,,1997,
s851,TV Show,Disney's The Emperor's New School,,2005,
s852,Movie,Disney's The Kid,Jon Turteltaub,2000,105
s853,TV Show,Disney's The Little Mermaid (Series),,1992,
s854,Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,1966,51
s855,Movie,Disneynature African Cats,Keith Scholey,2011,90
s856,Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",2014,78
s857,Movie,Disneynature Born in China,Lu Chuan,2017,81
s858,Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",2012,79
s859,Movie,Disneynature Crimson Wing,"Matthew Aeberhard, Leander Ward",2008,78
s860,Movie,Disneynature Monkey Kingdom,Mark Linfield,2015,82
s861,Movie,Disneynature Wings of Life,Louie Schwartzberg,2011,81
s862,TV Show,Dog Whisperer with Cesar Millan,,2004,
s863,Movie,Don't Look Under the Bed,Kenneth Johnson,1999,93
s864,Movie,Donald's Golf Game,Jack King,1938,8
s865,Movie,Donald's Tire Trouble,Dick Lundy,1943,8
s866,Movie,Double Teamed,Duwayne Dunham,2002,93
s867,Movie,Doug's 1st Movie,Maurice Joyce,1999,80
s868,TV Show,"Dr. T, Lone Star Vet",,2019,
s869,Movie,DuckTales The Movie: Treasure of the Lost Lamp,Bob Hathcock,1990,75
s870,Movie,Dug's Special Mission,Ronnie Del Carmen,2009,6
s871,Movie,Dumbo,Tim Burton,2019,117
s872,Movie,Early to Bed,Jack Kinney,1941,9
s873,Movie,Earth Live,Glenn Weiss,2017,94
s874,Movie,Easter Island Unsolved,Geoff Luck,2018,45
s875,Movie,Eddie's Million Dollar Cook-off,Paul Hoen,2003,86
s876,Movie,Eight Below,Frank Marshall,2006,122
s877,TV Show,Elena of Avalor (Shorts),,2017,
s878,Movie,Emil and the Detectives,Peter Tewksbury,1964,98
s879,Movie,Empire of Dreams: The Story of the Star Wars Trilogy,"Edith Becker, Kevin Burns",2004,151
s880,TV Show,Encore!,,2019,
s881,Movie,Escape to Witch Mountain,John Hough,1975,98
s882,TV Show,Even Stevens,,2000,
s883,Movie,Expedition Mars: Spirit & Opportunity,Mark Davis,2019,88
s884,Movie,Fantasia,"Samuel Armstrong, James Algar, Bill Roberts",1940,126
s885,Movie,Fantasia 2000,"Pixote Hunt, Hendel Butoy, Eric Goldberg",2000,76
s886,TV Show,Fantastic Four (Series),,1994,
s887,TV Show,Fantastic Four: World's Greatest Heroes,,2007,
s888,Movie,Ferdinand the Bull,Dick Rickard,1938,8
s889,Movie,Finding Dory,"Andrew Stanton, Angus MacLane",2016,98
s890,Movie,Finding Nemo,Andrew Stanton,2003,103
s891,Movie,First Kid,David Evans,1996,102
s892,Movie,Flight of the Navigator,Randal Kleiser,1986,90
s893,Movie,Float,Bobby Rubio,2019,10
s894,Movie,Flowers and Trees,Burt Gillett,1932,8
s895,Movie,Flubber,Les Mayfield,1997,96
s896,Movie,Food for Feudin',Charles Nichols,1950,7
s897,Movie,For the Birds,Ralph Eggleston,2001,4
s898,Movie,Forky Asks a Question: What is Money?,Bob Peterson,2019,6
s899,Movie,Frank and Ollie,Theodore Thomas,1995,89
s900,Movie,Frankenweenie (Short),Tim Burton,1984,27
s901,Movie,Freaky Friday,Mark Waters,2003,98
s902,Movie,Free Solo,"Elizabeth Vasarhelyi, Jimmy Chin",2018,101
s903,Movie,Frenemies,Daisy Mayer,2012,88
s904,Movie,Frozen,"Chris Buck, Jennifer Lee",2013,105
s905,Movie,Full-Court Miracle,Stuart Gillard,2003,95
s906,Movie,Fun and Fancy Free,"Jack Kinney, W. Roberts, Hamilton Luske",1947,74
s907,Movie,Fuzzbucket,Mick Garris,1986,46
s908,TV Show,Gargoyles,,1994,
s909,Movie,Geek Charming,Jeffrey Hornaday,2011,99
s910,Movie,Genius,Rod Daniel,1999,86
s911,Movie,George & A.J.,Josh Cooley,2009,4
s912,Movie,Geri's Game,Jan Pinkava,1997,5
s913,Movie,Get a Clue,Maggie Greenwald,2002,84
s914,Movie,Giants of the Deep Blue,Ken Corben,2018,45
s915,TV Show,Girl Meets World,,2013,
s916,Movie,Go Figure,Francine McDougall,2005,89
s917,Movie,Going to the Mat,Stuart Gillard,2004,92
s918,TV Show,Good Luck Charlie,,2009,
s919,Movie,"Good Luck Charlie, It's Christmas!",Arlene Sanford,2011,82
s920,TV Show,Goof Troop,,1992,
s921,Movie,Gotta Kick it Up,Ramon Menendez,2002,85
s922,Movie,Grand Canyonscope,C. Nichols,1954,7
s923,Movie,Grasshopper and the Ants,Wilfred Jackson,1934,8
s924,TV Show,Great Migrations,,2010,
s925,Movie,Greyfriars Bobby,Don Chaffey,1961,91
s926,Movie,Gus,Vincent McEveety,1976,97
s927,Movie,Halloweentown,Duwayne Dunham,1998,84
s928,Movie,Halloweentown High,Mark Dippé,2004,83
s929,Movie,Halloweentown II: Kalabar's Revenge,Mary Lambert,2001,81
s930,TV Show,Handy Manny,,2006,
s931,TV Show,Hannah Montana,,2005,
s932,Movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Bruce Hendricks,2008,83
s933,Movie,Hannah Montana The Movie,Peter Chelsom,2009,105
s934,Movie,Hatching Pete,Stuart Gillard,2009,90
s935,Movie,Hawaiian Holiday,Ben Sharpsteen,1937,9
s936,Movie,Heavyweights,Steven Brill,1995,98
